Símbolo;Empresa;id_Industria;Industria;Sub_industria;Localización;Incorp. SP500;Fundación;Cant. Empleos;Facturac. U$S 2022;Costo Op. U$S;Gcia Bruta U$S 2022;Deuda U$S 2022;Valor de Mercado
A;Agilent Technologies;XLV;Health Care;Health Care Equipment;California;5/6/2000;1999;18.300;6.993.999.872;3.271.999.872;3.722.000.000;2.967.000.064;32.286.976.000
AAL;American Airlines Group;XLI;Industrials;Passenger Airlines;Texas;23/3/2015;1934;132.500;52.893.999.104;41.450.999.104;11.443.000.000;42.582.999.040;8.395.701.760
AAPL;Apple Inc.;XLK;Information Technology;Technology Hardware, Storage & Peripherals;California;30/11/1982;1977;164.000;383.932.989.440;213.150.989.440;170.782.000.000;109.280.002.048;2.734.577.942.528
ABBV;AbbVie;XLV;Health Care;Pharmaceuticals;Illinois;31/12/2012;1888;50.000;56.022.999.040;14.495.999.040;41.527.000.000;61.392.998.400;260.256.612.352
ABNB;Airbnb;XLY;Consumer Discretionary;Hotels, Resorts & Cruise Lines;California;18/9/2023;2008;6.811;9.088.000.000;2.188.000.000;6.900.000.000;2.324.000.000;79.754.117.120
ABT;Abbott;XLV;Health Care;Health Care Equipment;Illinois;4/3/1957;1888;115.000;40.226.000.896;15.647.000.896;24.579.000.000;16.988.000.256;166.941.622.272
ACGL;Arch Capital Group;XLF;Financials;Reinsurance;Bermuda;1/11/2022;1995;5.800;11.788.808.192;8.941.097.192;2.847.711.000;2.726.000.128;30.447.962.112
ACN;Accenture;XLK;Information Technology;IT Consulting & Other Services;Ireland;6/7/2011;1989;733.000;64.111.742.976;43.380.135.976;20.731.607.000;3.149.033.984;194.933.440.512
ADBE;Adobe Inc.;XLK;Information Technology;Application Software;California;5/5/1997;1982;29.239;18.886.000.640;3.445.000.640;15.441.000.000;4.096.000.000;235.135.139.840
ADI;Analog Devices;XLK;Information Technology;Semiconductors;Massachusetts;12/10/1999;1965;24.450;12.836.770.816;5.032.900.816;7.803.870.000;7.027.979.776;85.759.836.160
ADM;ADM;XLP;Consumer Staples;Agricultural Products & Services;Illinois;4/3/1957;1902;40.360;99.883.999.232;92.313.999.232;7.570.000.000;9.825.000.448;39.205.138.432
ADP;ADP;XLI;Industrials;Human Resource & Employment Services;New Jersey;31/3/1981;1949;63.000;18.012.200.960;9.502.200.960;8.510.000.000;3.540.999.936;100.257.505.280
ADSK;Autodesk;XLK;Information Technology;Application Software;California;1/12/1989;1982;13.700;5.212.000.256;629.000.256;4.583.000.000;2.664.999.936;43.599.306.752
AEE;Ameren;XLU;Utilities;Multi-Utilities;Missouri;19/9/1991;1902;9.244;7.888.999.936;4.545.999.936;3.343.000.000;16.007.000.064;19.246.438.400
